Time,AllocatedMB,AvailableMB,PendingMB,ReservedMB,AllocatedVCores,AvailableVCores,PendingVCores,ReservedVCores
1520336528,294912,1067680,0,0,144,48,0,0
1520336529,309248,1053344,1024,3072,151,41,1,3
1520336530,324608,1037984,0,3072,156,36,0,1
1520336531,313344,1049248,10240,1024,149,43,4,1
1520336532,337920,1024672,2048,0,157,35,1,0
1520336533,324608,1037984,2048,1024,152,40,1,1
1520336534,323584,1039008,0,1024,154,38,0,1
1520336535,323584,1039008,2048,1024,154,38,1,1
1520336536,317440,1045152,0,1024,151,41,0,1
1520336537,325632,1036960,1024,0,155,37,1,0
1520336538,323584,1039008,0,0,152,40,0,0
1520336539,322560,1040032,8192,0,152,40,3,0
1520336540,318464,1044128,0,0,148,44,0,0
1520336541,306176,1056416,6144,0,144,48,2,0
1520336542,306176,1056416,6144,0,143,49,2,0
1520336543,296960,1065632,0,0,140,52,0,0
1520336544,312320,1050272,1024,3072,146,46,1,1
1520336545,305152,1057440,0,0,144,48,0,0
1520336546,312320,1050272,0,0,147,45,0,0
1520336547,318464,1044128,0,1024,148,44,0,1
1520336548,325632,1036960,0,6144,149,43,0,2
1520336549,332800,1029792,0,0,151,41,0,0
1520336550,318464,1044128,3072,0,146,46,2,0
1520336551,332800,1029792,1024,4096,152,40,1,2
1520336552,339968,1022624,1024,8192,156,36,1,4
1520336553,333824,1028768,0,1024,152,40,0,1
1520336554,348160,1014432,0,4096,156,36,0,2
1520336555,356352,1006240,0,9216,158,34,0,3
1520336556,350208,1012384,0,0,154,38,0,0
1520336557,339968,1022624,0,0,151,41,0,0
1520336558,332800,1029792,1024,1024,148,44,1,1
1520336559,329728,1032864,0,0,146,46,0,0
1520336560,321536,1041056,0,2048,144,48,0,1
1520336561,300032,1062560,0,1024,135,57,0,1
1520336562,287744,1074848,0,0,129,63,0,0
1520336563,289792,1072800,3072,0,128,64,1,0
1520336564,293888,1068704,0,0,128,64,0,0
1520336565,294912,1067680,6144,2048,128,64,2,2
1520336566,285696,1076896,0,3072,125,67,0,1
1520336567,277504,1085088,0,0,123,69,0,0
1520336568,273408,1089184,0,0,122,70,0,0
1520336569,280576,1082016,0,0,126,66,0,0
1520336570,269312,1093280,2048,2048,122,70,1,1
1520336571,267264,1095328,1024,0,121,71,1,0
1520336572,262144,1100448,0,0,122,70,0,0
1520336573,263168,1099424,7168,6144,123,69,3,2
1520336574,260096,1102496,0,0,124,68,0,0
1520336575,254976,1107616,0,2048,122,70,0,2
1520336576,257024,1105568,7168,0,122,70,4,0
1520336577,267264,1095328,0,1024,130,62,0,1
1520336578,268288,1094304,1024,1024,131,61,1,1
1520336579,268288,1094304,1024,0,131,61,1,0
1520336580,265216,1097376,0,1024,132,60,0,1
1520336581,280576,1082016,0,0,139,53,0,0
1520336582,292864,1069728,8192,2048,144,48,3,1
1520336583,307200,1055392,0,1024,150,42,0,1
1520336584,316416,1046176,4096,4096,154,38,2,2
1520336585,340992,1021600,2048,2048,160,32,2,2
1520336586,351232,1011360,2048,7168,165,27,1,3
1520336587,357376,1005216,0,2048,167,25,0,2
1520336588,347136,1015456,0,0,162,30,0,0
1520336589,347136,1015456,0,3072,163,29,0,1
1520336590,343040,1019552,0,3072,163,29,0,3
1520336591,344064,1018528,14336,4096,161,31,6,3
1520336592,361472,1001120,3072,6144,166,26,1,2
1520336593,367616,994976,60416,10240,169,23,55,4
1520336594,374784,987808,50176,7168,178,14,45,7
1520336595,385024,977568,50176,7168,185,7,47,6
1520336596,389120,973472,53248,6144,190,2,43,6
1520336597,387072,975520,47104,13312,190,2,35,13
1520336598,381952,980640,48128,12288,190,2,36,12
1520336599,373760,988832,37888,17408,189,3,28,12
1520336600,376832,985760,54272,26624,190,2,33,15
1520336601,373760,988832,51200,25600,187,5,30,13
1520336602,375808,986784,34816,23552,187,5,25,10
1520336603,379904,982688,30720,22528,188,4,22,13
1520336604,371712,990880,28672,14336,186,6,20,14
1520336605,360448,1002144,19456,14336,181,11,15,12
1520336606,365568,997024,11264,11264,185,7,11,9
1520336607,364544,998048,17408,23552,185,7,13,13
1520336608,365568,997024,13312,22528,185,7,13,14
1520336609,355328,1007264,9216,10240,184,8,9,10
1520336610,345088,1017504,9216,9216,184,8,5,9
1520336611,338944,1023648,11264,18432,181,11,7,12
1520336612,317440,1045152,19456,17408,175,17,10,13
1520336613,307200,1055392,22528,16384,172,20,10,12
1520336614,321536,1041056,1024,7168,173,19,1,5
1520336615,312320,1050272,0,3072,170,22,0,3
1520336616,291840,1070752,3072,2048,162,30,2,2
1520336617,281600,1080992,0,0,155,37,0,0
1520336618,270336,1092256,0,0,152,40,0,0
1520336619,286720,1075872,0,0,157,35,0,0
1520336620,295936,1066656,6144,6144,159,33,2,3
1520336621,299008,1063584,0,2048,160,32,0,2
1520336622,282624,1079968,0,0,152,40,0,0
1520336623,288768,1073824,2048,1024,156,36,1,1
1520336624,273408,1089184,1024,2048,149,43,1,2
1520336625,275456,1087136,1024,5120,144,48,1,3
1520336626,289792,1072800,4096,5120,148,44,2,3
1520336627,297984,1064608,0,0,150,42,0,0
1520336628,295936,1066656,10240,6144,147,45,4,2
1520336629,312320,1050272,0,5120,152,40,0,2
1520336630,315392,1047200,182272,4096,153,39,60,2
1520336631,340992,1021600,145408,18432,158,34,48,6
1520336632,336896,1025696,155648,39936,155,37,53,13
1520336633,347136,1015456,165888,33792,157,35,57,11
1520336634,360448,1002144,159744,27648,161,31,56,9
1520336635,377856,984736,147456,18432,164,28,54,6
1520336636,379904,982688,137216,16384,164,28,51,9
1520336637,376832,985760,122880,17408,163,29,44,11
1520336638,364544,998048,131072,16384,161,31,48,10
1520336639,353280,1009312,116736,11264,158,34,39,10
1520336640,362496,1000096,101376,8192,163,29,33,5
1520336641,372736,989856,95232,21504,166,26,31,8
1520336642,376832,985760,86016,30720,166,26,28,10
1520336643,371712,990880,99328,28672,163,29,35,10
1520336644,380928,981664,87040,20480,166,26,32,10
1520336645,375808,986784,96256,18432,164,28,35,11
1520336646,373760,988832,78848,17408,165,27,27,8
1520336647,384000,978592,75776,16384,170,22,26,6
1520336648,377856,984736,71680,17408,168,24,26,13
1520336649,386048,976544,55296,12288,170,22,20,10
1520336650,384000,978592,57344,25600,169,23,20,11
1520336651,399360,963232,47104,27648,172,20,16,9
1520336652,382976,979616,36864,20480,165,27,13,10
1520336653,357376,1005216,21504,21504,154,38,7,9
1520336654,357376,1005216,30720,20480,154,38,12,12
1520336655,356352,1006240,33792,21504,153,39,16,15
1520336656,362496,1000096,18432,9216,158,34,9,5
1520336657,351232,1011360,17408,10240,155,37,8,10
1520336658,356352,1006240,6144,14336,158,34,2,8
1520336659,359424,1003168,2048,8192,159,33,1,4
1520336660,347136,1015456,5120,1024,153,39,3,1
1520336661,335872,1026720,9216,0,150,42,4,0
1520336662,338944,1023648,0,1024,151,41,0,1
1520336663,322560,1040032,2048,0,148,44,2,0
1520336664,314368,1048224,0,2048,146,46,0,2
1520336665,304128,1058464,0,1024,142,50,0,1
1520336666,312320,1050272,5120,3072,142,50,2,1
1520336667,306176,1056416,0,1024,140,52,0,1
1520336668,300032,1062560,18432,0,139,53,6,0
1520336669,305152,1057440,2048,3072,138,54,1,1
1520336670,280576,1082016,5120,1024,128,64,3,1
1520336671,282624,1079968,8192,1024,132,60,4,1
1520336672,279552,1083040,5120,1024,131,61,3,1
1520336673,280576,1082016,2048,2048,133,59,2,2
1520336674,263168,1099424,1024,2048,127,65,1,2
1520336675,265216,1097376,0,1024,129,63,0,1
1520336676,263168,1099424,0,1024,128,64,0,1
1520336677,264192,1098400,0,3072,129,63,0,1
1520336678,268288,1094304,32768,2048,137,55,20,2
1520336679,281600,1080992,10240,4096,146,46,6,3
